角色编码,统一角色,出现次数,来源sheet
ROLE001,区域,25,乘用车-常规贷后动作(10)；乘用车-异常处置动作(2)；商用车-常规贷后动作（中重卡-担保）(6)；商用车-常规贷后动作（中重卡-非担保） (2)；商用车-常规贷后动作（轻卡-新能源） (2)；商用车-常规贷后动作（轻卡-燃油） (3)
ROLE002,委外催收管理,8,乘用车-常规贷后动作(4)；乘用车-异常处置动作(4)
ROLE003,客服中心,275,乘用车-常规贷后动作(68)；乘用车-异常处置动作(14)；商用车-常规贷后动作（中重卡-担保）(21)；商用车-常规贷后动作（中重卡-非担保） (23)；商用车-常规贷后动作（轻卡-新能源） (13)；商用车-常规贷后动作（轻卡-燃油） (18)；商用车-异常处置动作（中重卡-担保） (33)；商用车-异常处置动作（中重卡-非担保）  (33)；商用车-异常处置动作（轻卡-新能源）  (29)；商用车-异常处置动作（轻卡-燃油）  (23)
ROLE004,诉讼管理,7,乘用车-常规贷后动作(2)；乘用车-异常处置动作(5)
ROLE005,资管,6,乘用车-常规贷后动作(2)；乘用车-异常处置动作(3)；商用车-常规贷后动作（轻卡-新能源） (1)
ROLE006,车辆管理,1,乘用车-常规贷后动作(1)
